route_id,service_id,trip_id,route_long_name,route_type,origin_stop_id,destination_stop_id,n_stops,origin_stop_name,origin_stop_lat,origin_stop_lon,destination_stop_name,destination_stop_lat,destination_stop_lon,country,source,arrival_hh,departure_hh,departure_minutes,arrival_minutes,duration_minutes,is_night_trip
10006,1655,1177877,,2,339694,581047,7,Rostock Hbf,54.078247,12.131079,Tessin,54.032017,12.462614,DE,mobilitydatabase,6,5,331.0,360.0,29.0,True
10006,1655,1198235,,2,339694,549237,16,Rostock Hbf,54.078247,12.131079,Wismar,53.896835,11.469433,DE,mobilitydatabase,6,5,306.0,375.0,69.0,True
10006,1655,403017,,2,339694,549237,16,Rostock Hbf,54.078247,12.131079,Wismar,53.896835,11.469433,DE,mobilitydatabase,22,21,1266.0,1335.0,69.0,True
10006,1655,526283,,2,549237,581047,22,Wismar,53.896835,11.469433,Tessin,54.032017,12.462614,DE,mobilitydatabase,22,20,1242.0,1354.0,112.0,True
10006,189,1066275,,2,339694,320041,6,Rostock Hbf,54.078247,12.131079,Bad Doberan,54.100002,11.905335,DE,mobilitydatabase,22,22,1330.0,1349.0,19.0,True
10006,189,539187,,2,549237,339694,16,Wismar,53.896835,11.469433,Rostock Hbf,54.078247,12.131079,DE,mobilitydatabase,22,21,1302.0,1371.0,69.0,True
10006,2527,1307189,,2,549237,339694,16,Wismar,53.896835,11.469433,Rostock Hbf,54.078247,12.131079,DE,mobilitydatabase,23,22,1362.0,1431.0,69.0,True
10006,2527,1319684,,2,581047,320041,12,Tessin,54.032017,12.462614,Bad Doberan,54.100002,11.905335,DE,mobilitydatabase,23,22,1360.0,1409.0,49.0,True
10006,2527,201588,,2,339694,549237,16,Rostock Hbf,54.078247,12.131079,Wismar,53.896835,11.469433,DE,mobilitydatabase,23,22,1330.0,1395.0,65.0,True
10006,2527,217035,,2,549237,581047,22,Wismar,53.896835,11.469433,Tessin,54.032017,12.462614,DE,mobilitydatabase,23,21,1302.0,1421.0,119.0,True
10006,255,1034520,,2,339694,320041,6,Rostock Hbf,54.078247,12.131079,Bad Doberan,54.100002,11.905335,DE,mobilitydatabase,5,5,333.0,356.0,23.0,True
